标题,日期,阅读次数,正文
刘永富主任带队赴云南调研脱贫攻坚工作,2020/08/14,4637,刘永富主任带队赴云南调研脱贫攻坚工作
全国消费扶贫行动工作培训班在广州举办,2020/08/14,4147,全国消费扶贫行动工作培训班在广州举办
技能成才技能脱贫——第45届世界技能大赛先进事迹报告会在山西大同举行,2020/08/14,4148,技能成才技能脱贫——第45届世界技能大赛先进事迹报告会在山西大同举行
杨晓渡在甘肃调研时强调全力保障脱贫攻坚决战决胜高质量完成党和人民赋予...,2020/08/13,3955,杨晓渡在甘肃调研时强调全力保障脱贫攻坚决战决胜高质量完成党和人民赋予的任务
安居乐业习近平这样指导筑牢住房安全“屏障”,2020/08/13,4737,安居乐业习近平这样指导筑牢住房安全“屏障”
全国扶贫职业技能大赛在山西大同开幕,2020/08/12,4086,全国扶贫职业技能大赛在山西大同开幕
刘永富赴深圳调研东西部扶贫协作工作,2020/08/11,4475,刘永富赴深圳调研东西部扶贫协作工作
全国消费扶贫行动现场推进会在广州召开刘永富主任出席并讲话,2020/08/11,6492,全国消费扶贫行动现场推进会在广州召开刘永富主任出席并讲话
52个贫困县挂牌督战取得新进展,2020/08/11,4894,52个贫困县挂牌督战取得新进展
全国扶贫职业技能大赛开战在即：以技能促就业、助脱贫,2020/08/11,3712,全国扶贫职业技能大赛开战在即：以技能促就业、助脱贫
国新办就挂牌督战工作成果情况举行发布会,2020/08/10,4426,国新办就挂牌督战工作成果情况举行发布会
人力资源社会保障部教育部国务院扶贫办印发通知部署加强贫困家庭高校毕业...,2020/08/10,4004,人力资源社会保障部教育部国务院扶贫办印发通知部署加强贫困家庭高校毕业生就业帮扶工作
央视《焦点访谈》：脱贫有“术”“饭碗”更稳,2020/08/09,4612,央视《焦点访谈》：脱贫有“术”“饭碗”更稳
国务院扶贫办：做实消费扶贫构建长效机制,2020/08/09,4978,国务院扶贫办：做实消费扶贫构建长效机制
刘永富赴山西省调研脱贫攻坚工作,2020/08/08,4221,刘永富赴山西省调研脱贫攻坚工作
近期脱贫攻坚重点工作最新进展（截至7月31日）,2020/08/07,4185,近期脱贫攻坚重点工作最新进展（截至7月31日）
国家脱贫攻坚普查：第一批普查县现场登记工作正在开展,2020/08/07,4514,国家脱贫攻坚普查：第一批普查县现场登记工作正在开展
贫困村的这些“小事”，习近平很关心,2020/08/05,3858,贫困村的这些“小事”，习近平很关心
胡春华在西藏考察国家脱贫攻坚普查现场登记工作,2020/08/04,4492,胡春华在西藏考察国家脱贫攻坚普查现场登记工作
世界政党领导人谈中国的脱贫攻坚,2020/08/04,4171,世界政党领导人谈中国的脱贫攻坚
2020年全国脱贫攻坚奖通过初评候选对象公示,2020/08/03,18501,2020年全国脱贫攻坚奖通过初评候选对象公示
扶贫产业怎么恢复？返贫致贫怎么办？——汛情下脱贫攻坚焦点扫描,2020/08/03,4123,扶贫产业怎么恢复？返贫致贫怎么办？——汛情下脱贫攻坚焦点扫描
中共中央政治局召开会议决定召开十九届五中全会分析研究当前经济形势和经...,2020/07/30,5584,中共中央政治局召开会议决定召开十九届五中全会分析研究当前经济形势和经济工作中共中央总书记习近平主持会议
李克强主持召开国务院常务会议部署进一步扩大开放稳外贸稳外资决定深化服...,2020/07/30,4895,李克强主持召开国务院常务会议部署进一步扩大开放稳外贸稳外资决定深化服务贸易创新发展试点等
“扶贫832平台”累计销售贫困地区农副产品总额突破12亿元,2020/08/03,4671,“扶贫832平台”累计销售贫困地区农副产品总额突破12亿元
刘永富会见山西省副省长王成一行,2020/07/31,4542,刘永富会见山西省副省长王成一行
第二届“津企陇上行”活动在甘肃天水市举行刘永富主任出席并讲话,2020/07/29,4728,第二届“津企陇上行”活动在甘肃天水市举行刘永富主任出席并讲话
习近平在吉林考察时强调坚持新发展理念深入实施东北振兴战略加快推动新时...,2020/07/24,5902,习近平在吉林考察时强调坚持新发展理念深入实施东北振兴战略加快推动新时代吉林全面振兴全方位振兴
全国政府采购贫困地区农副产品工作推进会在京召开,2020/07/23,5632,全国政府采购贫困地区农副产品工作推进会在京召开
刘永富主任会见广东省委常委叶贞琴一行,2020/07/22,4865,刘永富主任会见广东省委常委叶贞琴一行
刘永富会见吉林省委副书记高广滨一行,2020/07/22,5034,刘永富会见吉林省委副书记高广滨一行
国务院扶贫办党组书记、主任刘永富赴中国移动通信集团调研扶贫工作,2020/07/22,4754,国务院扶贫办党组书记、主任刘永富赴中国移动通信集团调研扶贫工作
国务院扶贫办党组书记、主任刘永富赴中国电信集团调研扶贫工作,2020/07/22,4501,国务院扶贫办党组书记、主任刘永富赴中国电信集团调研扶贫工作
习近平的脱贫方略,2020/07/22,7715,习近平的脱贫方略
国务院扶贫办主任刘永富赴内蒙古调研脱贫攻坚工作,2020/07/21,6934,国务院扶贫办主任刘永富赴内蒙古调研脱贫攻坚工作
国务院扶贫办开展征集技能脱贫典型案例活动,2020/07/21,4819,国务院扶贫办开展征集技能脱贫典型案例活动
倒计时！只剩半年，脱贫攻坚进展怎样了？,2020/07/20,6436,倒计时！只剩半年，脱贫攻坚进展怎样了？
国务院扶贫开发领导小组开展2020年脱贫攻坚督查,2020/07/17,6866,国务院扶贫开发领导小组开展2020年脱贫攻坚督查
中共中央政治局常务委员会召开会议研究部署防汛救灾工作中共中央总书记习...,2020/07/17,5094,中共中央政治局常务委员会召开会议研究部署防汛救灾工作中共中央总书记习近平主持会议
教育部人力资源社会保障部国务院扶贫办印发通知部署52个未摘帽贫困县...,2020/07/16,4869,教育部人力资源社会保障部国务院扶贫办印发通知部署52个未摘帽贫困县建档立卡贫困家庭高校毕业生就业精准帮扶工作
“我所经历的脱贫攻坚故事”征集展示展播活动公告,2020/07/16,4346,“我所经历的脱贫攻坚故事”征集展示展播活动公告
国务院扶贫办举办全国脱贫攻坚干部培训工作研讨班,2020/07/15,4250,国务院扶贫办举办全国脱贫攻坚干部培训工作研讨班
三峡库区告别绝对贫困,2020/07/15,4202,三峡库区告别绝对贫困
央视《焦点访谈》：把住返贫这道线,2020/07/14,4346,央视《焦点访谈》：把住返贫这道线
六部门：高职扩招向贫困地区特别是连片特困地区倾斜,2020/07/14,4183,六部门：高职扩招向贫困地区特别是连片特困地区倾斜
汪洋在西藏调研时强调坚持和贯彻新时代党的治藏方略推进西藏长治久安和高...,2020/07/09,5017,汪洋在西藏调研时强调坚持和贯彻新时代党的治藏方略推进西藏长治久安和高质量发展
胡春华在重庆实地督导巩固脱贫成果工作,2020/07/08,4854,胡春华在重庆实地督导巩固脱贫成果工作
脱贫攻坚战，也是产业和金融升级的“协奏曲”——专访国务院扶贫办党组书记、...,2020/07/08,4879,脱贫攻坚战，也是产业和金融升级的“协奏曲”——专访国务院扶贫办党组书记、主任刘永富
李克强在贵州考察时强调：突出做好重点民生工作推动改革创新增强发展动力,2020/07/08,5178,李克强在贵州考察时强调：突出做好重点民生工作推动改革创新增强发展动力
人力资源社会保障部国家广播电视总局国务院扶贫办联合开展就业扶贫主题宣...,2020/07/08,4369,人力资源社会保障部国家广播电视总局国务院扶贫办联合开展就业扶贫主题宣传活动
近期脱贫攻坚重点工作进展有关情况（截至6月30日）,2020/07/07,5670,近期脱贫攻坚重点工作进展有关情况（截至6月30日）
李克强在贵州铜仁大山深处走访看望受灾贫困户,2020/07/07,3816,李克强在贵州铜仁大山深处走访看望受灾贫困户
习近平时间丨民族地区脱贫攻坚，加油,2020/07/07,4451,习近平时间丨民族地区脱贫攻坚，加油
《新闻调查》决战深度贫困,2020/07/06,4750,《新闻调查》决战深度贫困
辽宁省代省长刘宁检查指导脱贫攻坚工作,2020/07/06,3904,辽宁省代省长刘宁检查指导脱贫攻坚工作
中央宣传部授予闽宁对口扶贫协作援宁群体“时代楷模”称号全国“时代楷模”优...,2020/07/03,None,中央宣传部授予闽宁对口扶贫协作援宁群体“时代楷模”称号全国“时代楷模”优秀集体和先进个人达101个
初心赴使命热血写春秋——记脱贫攻坚中的共产党员,2020/07/03,4834,初心赴使命热血写春秋——记脱贫攻坚中的共产党员
全国扶贫职业技能大赛标识揭晓,2020/07/03,4594,全国扶贫职业技能大赛标识揭晓
国务院扶贫办党组理论学习中心组召开学习研讨会,2020/07/02,4405,国务院扶贫办党组理论学习中心组召开学习研讨会
国务院扶贫办召开庆祝建党99周年暨“两优一先”表彰大会,2020/07/01,3785,国务院扶贫办召开庆祝建党99周年暨“两优一先”表彰大会
刘永富同志听取开发指导司关于办党组巡视整改工作情况的汇报,2020/07/01,3869,刘永富同志听取开发指导司关于办党组巡视整改工作情况的汇报
刘永富同志听取中国国际扶贫中心关于办党组巡视整改工作情况的汇报,2020/07/01,3880,刘永富同志听取中国国际扶贫中心关于办党组巡视整改工作情况的汇报
国务院扶贫办召开全国贫困村创业致富带头人培育工作视频会议,2020/07/01,4537,国务院扶贫办召开全国贫困村创业致富带头人培育工作视频会议
胡春华强调高质量完成脱贫攻坚普查任务,2020/07/01,5350,胡春华强调高质量完成脱贫攻坚普查任务
财政部部署进一步加强扶贫资金监管保障决战决胜脱贫攻坚,2020/07/01,4184,财政部部署进一步加强扶贫资金监管保障决战决胜脱贫攻坚
全国政协十三届常委会第十二次会议闭幕汪洋主持并讲话,2020/06/28,4420,全国政协十三届常委会第十二次会议闭幕汪洋主持并讲话
国务院办公厅关于开展国家脱贫攻坚普查的通知,2020/06/29,8989,国务院办公厅关于开展国家脱贫攻坚普查的通知
国务院扶贫办印发通知对防范化解因洪涝地质灾害等返贫致贫风险作出安排部署,2020/06/30,3950,国务院扶贫办印发通知对防范化解因洪涝地质灾害等返贫致贫风险作出安排部署
国务院扶贫办举办全国驻村帮扶工作培训班,2020/06/28,4314,国务院扶贫办举办全国驻村帮扶工作培训班
全面小康一个少数民族也不能少,2020/06/28,4130,全面小康一个少数民族也不能少
全国政协十三届常委会第十二次会议举行专题分组讨论首次开展联动协商汪洋...,2020/06/24,3341,全国政协十三届常委会第十二次会议举行专题分组讨论首次开展联动协商汪洋参加讨论
为高质量打赢脱贫攻坚战建言资政——全国政协专题议政性常委会会议侧记,2020/06/24,3735,为高质量打赢脱贫攻坚战建言资政——全国政协专题议政性常委会会议侧记
全国政协十三届常委会第十二次会议开幕汪洋出席,2020/06/23,3531,全国政协十三届常委会第十二次会议开幕汪洋出席
【决战决胜脱贫攻坚】四川凉山最后易地扶贫安置点分房,2020/06/23,3385,【决战决胜脱贫攻坚】四川凉山最后易地扶贫安置点分房
两部门下达今年中央财政农村危房改造补助资金预算,2020/06/23,3321,两部门下达今年中央财政农村危房改造补助资金预算
人力资源社会保障部、财政部、国务院扶贫办印发通知部署进一步做好就业扶贫工...,2020/06/22,3241,人力资源社会保障部、财政部、国务院扶贫办印发通知部署进一步做好就业扶贫工作
